Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-538.1436660934384,-538.1436660934384,-590.2427685941694,-590.2427685941694,-590.2427685941694
-523.1847778721334,-523.1847778721334,-528.6159314006503,-528.6159314006503,-466.98909420713113
-526.6034827830624,-526.6034827830624,-508.0736523361439,-508.0736523361439,-466.98909420713113
-499.3719051282221,-499.3719051282221,-523.7928971636197,-523.7928971636197,-466.98909420713113
-531.136927281199,-531.136927281199,-571.6948885170412,-571.6948885170412,-466.98909420713113
-537.5731730991165,-537.5731730991165,-554.2439227987229,-554.2439227987229,-466.98909420713113
-510.82478899094946,-510.82478899094946,-563.0018457042207,-563.0018457042207,-466.98909420713113
-512.6934969823603,-512.6934969823603,-570.7743237239513,-570.7743237239513,-466.98909420713113
-523.8685361910732,-523.8685361910732,-572.0821748349857,-572.0821748349857,-466.98909420713113
-534.4598248924709,-534.4598248924709,-591.6908087950949,-591.6908087950949,-466.98909420713113
-543.4603393941618,-543.4603393941618,-579.3654413563911,-580.3542892870981,-466.98909420713113
-517.2684928159711,-517.2684928159711,-579.1477800263563,-570.7258052554051,-464.81248090678235
-486.7440480561469,-486.7440480561469,-605.0167072581462,-582.6452330453764,-464.81248090678235
-527.8350952975235,-527.8350952975235,-620.9772221522733,-593.2102721555151,-464.81248090678235
-564.7918630082245,-564.7918630082245,-617.2147734117037,-602.0414784468162,-464.81248090678235
-536.8553567597837,-536.8553567597837,-633.3167976633167,-603.664469589094,-464.81248090678235
-509.0886629579003,-509.0886629579003,-634.0730102970665,-604.808413111777,-464.81248090678235
-500.67478514554955,-500.67478514554955,-634.4487685751989,-606.1490153079778,-464.81248090678235
-496.6382623127784,-496.6382623127784,-632.5422412573237,-603.90326242569,-464.81248090678235
-498.77962566458837,-498.77962566458837,-632.5422412573236,-612.1165250262094,-464.81248090678235
-509.5252435373607,-509.5252435373607,-658.252740129931,-617.4487896884473,-464.81248090678235
-523.482559331005,-523.482559331005,-688.5883434828604,-624.299686267885,-464.81248090678235
-534.9175708762641,-534.9175708762641,-659.5259240584867,-616.071620442381,-435.0541722812945
-515.2020024385326,-515.2020024385326,-647.2192182321256,-615.7139996874363,-435.0541722812945
-537.0670920999664,-537.0670920999664,-621.1326296703007,-609.6779389362101,-435.0541722812945
-525.4134672548296,-525.4134672548296,-600.1444545627711,-602.3106176558929,-418.12758564796235
-524.98493225125,-524.98493225125,-613.7255460800462,-608.1110549518767,-418.12758564796235
-524.98493225125,-524.98493225125,-626.2084713182732,-613.3131067402262,-418.12758564796235
-524.98493225125,-524.98493225125,-644.5060206955266,-617.9042135532197,-418.12758564796235
-524.98493225125,-524.98493225125,-642.9610624532767,-622.3980375018984,-418.12758564796235
-524.98493225125,-524.98493225125,-647.1986670466447,-627.0455243201238,-418.12758564796235
-524.98493225125,-524.98493225125,-646.4673727536681,-631.2270882946921,-418.12758564796235
-524.98493225125,-524.98493225125,-680.6651882607508,-635.6454288721899,-418.12758564796235
-524.98493225125,-524.98493225125,-695.6498424979725,-639.224541690535,-418.12758564796235
-524.98493225125,-524.98493225125,-725.1340916801621,-642.6654111487677,-418.12758564796235
-524.98493225125,-524.98493225125,-759.2569750403729,-645.9068280404705,-418.12758564796235
-524.98493225125,-524.98493225125,-760.5145460447102,-649.3011876796694,-418.12758564796235
-524.98493225125,-524.98493225125,-761.6770633855916,-652.3562532258484,-418.12758564796235
-524.98493225125,-524.98493225125,-764.331366814404,-655.4496374663437,-418.12758564796235
-524.98493225125,-524.98493225125,-765.3878775250208,-658.1454975076789,-418.12758564796235
-524.98493225125,-524.98493225125,-764.5333171168887,-660.5791323193347,-418.12758564796235
-524.98493225125,-524.98493225125,-765.5936190504198,-663.2191194270082,-418.12758564796235
-524.98493225125,-524.98493225125,-764.1330107557586,-665.5262618683687,-418.12758564796235
-524.98493225125,-524.98493225125,-763.313000382446,-667.4264641205149,-418.12758564796235
-524.98493225125,-524.98493225125,-763.9579911718529,-669.6193178205644,-418.12758564796235
-524.98493225125,-524.98493225125,-765.651635854111,-671.9383079999577,-418.12758564796235
-524.98493225125,-524.98493225125,-763.8482308646263,-673.6728989956177,-418.12758564796235
-524.98493225125,-524.98493225125,-763.7872836117086,-675.5710512229028,-418.12758564796235
-524.98493225125,-524.98493225125,-762.694199722012,-677.3362828246435,-418.12758564796235
-524.98493225125,-524.98493225125,-765.3602918503899,-679.5884563762212,-418.12758564796235
-524.98493225125,-524.98493225125,-764.8898843814504,-682.848010006261,-418.12758564796235
-524.98493225125,-524.98493225125,-764.3719805011275,-688.8338191628865,-418.12758564796235
-524.98493225125,-524.98493225125,-763.6056283498713,-694.5892917366027,-418.12758564796235
-524.98493225125,-524.98493225125,-765.5205800694896,-698.5359726668615,-418.12758564796235
-524.98493225125,-524.98493225125,-763.6037034761432,-698.2086378820325,-418.12758564796235
-524.98493225125,-524.98493225125,-762.6155944604624,-704.1970915162069,-418.12758564796235
-524.98493225125,-524.98493225125,-762.6364620245606,-706.9595590622021,-418.12758564796235
-524.98493225125,-524.98493225125,-762.0822445512229,-709.640766288399,-418.12758564796235
-524.98493225125,-524.98493225125,-761.5079989545534,-713.1163654887637,-418.12758564796235
-524.98493225125,-524.98493225125,-759.1898734093461,-713.0882692990713,-418.12758564796235
-524.98493225125,-524.98493225125,-760.4260925862679,-719.0601402522366,-418.12758564796235
Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
0.0001,0.0001,9.999999999999999e-05,9.999999999999999e-05,9.999999999999999e-05
-524.98493225125,-524.98493225125,-761.2094369184724,-725.2461505413098,-418.12758564796235
0.0001,0.0001,9.999999999999999e-05,9.999999999999999e-05,9.999999999999999e-05
